id_estomago,nome_popular,especie_predador,genero_predador,localidade,trecho_rio,periodo_hidrologico,mes,ano,comprimento_padrao_cm,peso_g,grau_replecao,volume_total_original_pct,volume_reescalonado_100,volume_peixe_nao_identificado_pct,volume_restos_peixe_pct,volume_ordens_peixes_pct,volume_familias_peixes_pct,volume_peixes_identificados_pct,volume_invertebrados_pct,volume_total_dieta_pct,riqueza_itens_alimentares,item_dominante_original,volume_item_dominante_pct,dieta_mista
BM074,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,51.0,3000.0,3,100.0,False,60.0,0.0,0.0,40.0,0.0,0.0,100.0,2,fish n.i.,60.0,True
BM075,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,43.0,5000.0,1,100.0,False,100.0,0.0,0.0,0.0,0.0,0.0,100.0,1,fish n.i.,100.0,False
BM076,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,,,1,100.0,False,0.0,0.0,0.0,100.0,0.0,0.0,100.0,1,Pimelodidae,100.0,False
BM077,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,48.0,2000.0,3,100.0,False,0.0,0.0,40.0,60.0,0.0,0.0,100.0,3,Siluriformes,40.0,True
BM078,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,52.0,2000.0,2,100.0,False,45.0,0.0,55.0,0.0,0.0,0.0,100.0,2,Siluriformes,55.0,True
BM079,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,27.0,2000.0,3,100.0,False,0.0,0.0,10.0,0.0,90.0,0.0,100.0,2,Prochilodus nigricans,90.0,True
BM080,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,55.0,3000.0,2,100.0,False,80.0,0.0,0.0,0.0,0.0,20.0,100.0,3,fish n.i.,80.0,True
BM081,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,,,1,100.0,False,0.0,0.0,7.0,0.0,90.0,3.0,100.0,3,Triportheus angulatus,90.0,True
BM082,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,36.0,2000.0,3,100.0,False,50.0,0.0,0.0,50.0,0.0,0.0,100.0,2,fish n.i.,50.0,True
BM083,piramutaba,Brachyplatystoma vaillantii,Brachyplatystoma,Cachoeira do Macaco,between Santo Antonio and Jirau rapids,vazante_seca,junho,2009,25.0,1000.0,2,100.0,False,0.0,0.0,0.0,0.0,100.0,0.0,100.0,1,Megalonema spp.,100.0,False
